United_States_of_America,China,Germany,United_Kingdom,Japan,France,Korea__Republic_of,Italy,Canada,Netherlands,Mexico,Belgium,India,Spain,Singapore,Switzerland,Turkey,Thailand,Australia,Poland,Russian_Federation,Malaysia,Austria,Czech_Republic,Sweden,Brazil,Indonesia,Hungary,Philippines,Denmark,Ireland,Slovakia,South_Africa,Romania,Norway,Portugal,Israel,Finland,Chile,Greece,Colombia,New_Zealand,Peru,Slovenia,Bulgaria,Belarus,Lithuania,Kazakhstan,Croatia,Sri_Lanka,Tunisia,Luxembourg,Dominican_Republic,Guatemala,Ethiopia,Ecuador,Estonia,Costa_Rica,Uruguay,Tanzania__United_Republic_of
140611,738277,688752,87484,18317,271391,44891,192900,44446,125298,6779,227987,198927,22694,243472,18629,147703,59985,2975,851443,12316244,99711,46832,160034,54177,768493,186357,88607,2008,15262,14270,71588,33580,95783,132327,1258,20211,26289,2482,75971,641,22653,944,14728,30768,0,993553,773817,5910,16469,11807,5348,148,1,1166,5778,103569,1740,1757,89
1137632,157487,2125995,1592374,105710,867072,50754,558602,208990,1368723,44899,485690,125299,261365,44601,141003,217223,10148,30506,1349322,1005362,29530,95663,281015,1151947,34049,8697,149291,4808,643503,89771,77123,24294,82367,874386,89960,23377,417813,3747,35951,4297,12451,1988,60587,57685,3290014,0,150127,14924,2824,6495,14920,6677,87,2052,5013,1145425,1448,12798,555
1459478,9741822,5912914,287569,753994,5600844,560771,3218268,458584,500389,8408,455213,924993,2213494,922,1034632,1236268,3477,2125,1718702,7172377,13151,2149998,682722,16420,99282,28186,39911,345,28115,1766,16982,7178,3079700,12302,1081422,3917,691449,2856,3220221,2877,780,182,29909,48767,82477,717322,0,68721,1176,12220,4,2,0,0,1,98088,0,0,0
479011,100663,1298868,128466,68678,196265,15328,1861510,50161,112149,39632,123966,28325,101520,8846,149802,136889,13665,21316,129587,422095,3859,621137,179137,67571,1226003,10962,558466,4686,29430,6134,149506,35897,114820,88156,48142,31266,33008,2267,139538,8328,1965,5707,1440532,60081,22693,10817,17686,0,673,43298,4725,146,179,321,728,4132,282,458,7377
2800451,248273,650994,1182777,287078,421926,93802,525384,230685,151424,158616,324982,591996,163393,109503,213321,98178,58459,161976,84281,405722,57802,38006,56152,59268,65038,45996,10831,18490,29751,87889,45540,36116,8367,44014,7862,116567,24066,44226,4668,18291,42000,18022,4028,2017,2956,4134,7129,2882,0,1563,1992,1361,4614,1330,10666,8945,2824,2654,24433
537724,211920,2155214,491057,149076,5354854,121899,2927019,67311,370485,39649,396832,184230,538372,15937,166648,196697,15134,20439,192316,130106,22580,186058,145624,38111,72599,21696,29729,306,7848,14481,87636,20706,61115,42284,16794,216,20461,2084,27551,5548,6126,5589,18749,18185,172,141,4833,8433,193,0,18350,1260,365,546,2519,7192,1355,4774,867
785118,303804,4038618,857723,80584,1836287,39944,1236860,148498,1012116,116445,3311534,38403,538850,43528,595094,150185,20073,16581,406818,177468,23228,452565,324535,385181,73283,6313,85318,1332,203619,51042,84076,48587,114087,104531,145846,224006,74572,7092,91816,11738,5245,7313,60233,100848,6574,22744,13368,19456,17127,7289,0,947,4715,9748,21232,11810,966,399,2218
4637891,273805,244657,228081,73158,158695,128554,43427,1485765,219544,161530,176436,85845,131583,35641,260119,15883,21390,27821,30111,20934,8977,281,13868,35533,21598,10492,52,1069,7477,12930,4806,18749,573,14094,23217,6604,4511,17435,1504,52836,6180,11332,347,430,0,38,548,107,184,376,436,0,41574,113,19890,4696,49466,2541,85
4536272,51398,154505,86508,189783,54601,320690,72415,493341,363909,489554,46248,16903,131364,11278,48579,10785,4975,13216,12499,20321,6978,1171,4712,5126,27533,792,150,354,873,2290,1191,20765,634,22234,4376,3047,8914,107637,3649,51018,4115,25967,1333,504,0,7,40909,644,1819,52142,816,152787,0,117,26945,1350,408973,841,2
214044,489954,233245,42546,104832,56748,55220,74987,22221,77208,1473,193098,37362,9965,10455,281652,67479,10078,21823,5743,33164,1750,364,6669,22267,143,23720,1883,470,758,1432,7144,13630,2970,16164,7537,90010,5676,74,17292,0,4927,1,719,9800,33,1061,79,989,1060,927,7,5,0,0,22,79,0,7,264
11296254,1064512,704536,206696,1163001,450819,342493,537169,252763,415194,164795,379628,986546,637917,107126,145782,91057,65369,19654,239637,1240812,45646,1477,52636,25631,142849,41860,104,2079,20834,5624,22439,36187,7036,38571,19122,4534,15055,2438084,84909,918292,39960,1773887,34620,15393,1551,10096,36252,18812,16638,8784,1192,73524,68025,877,0,14199,33332,20648,61
574883,225498,702521,291518,102918,319248,344348,139554,86943,342091,147232,381396,114086,1296569,11327,50721,293569,11573,31868,178876,1613721,14574,44461,55022,2685926,43354,3124,45739,592,391483,54487,37831,39219,20810,692405,21268,15267,2033919,5319,9828,2810,1848,2033,11533,23854,137938,928739,56289,4885,1618,1835,2817,2186,150,75,40460,0,273,2761,2303
9765911,4186269,649168,375003,259433,235332,290797,248418,522664,3034623,2541792,610704,183818,200774,566811,114342,67893,62976,121460,87557,162501,3397313,905,354105,47676,278585,4061,1867,4098,9347,76489,10585,23534,1405,70084,21746,3162,56035,38843,22910,92188,22084,30276,144,2075,4,2858,3747,6089,1725,1011,2406,238016,537047,128,72313,9924,0,3065,262
477025,2629094,318306,126866,71317,83347,72616,240163,94209,367173,372701,29537,20504,114908,13922,111754,47095,35982,24313,38185,318077,22262,51434,20359,18816,1918471,38145,4620,81208,12395,4047,774,32742,4945,36767,73464,160383,27166,175525,1071,78512,1792,150322,5,6892,1105,1836,2638,54,267,4246,384,52274,79039,124,59561,896,25742,0,12152
88639,435102,211994,48421,238731,48234,42479,40452,39316,91617,1090,163112,927181,22132,14733,163166,34902,23310,29410,37478,50390,59081,240,7835,8172,70,19658,325,2793,4478,282,32,50064,8961,3683,28581,8642,6227,199,9065,9905,10587,40,129,65732,0,9498,3412,159,1907,5080,224,170,0,6104,25,175,18,10,0
0,148693056,68423395,58066454,68347458,38775095,44208106,15744426,223388954,36110604,187301416,32388432,20463651,14246502,33336489,20313463,11128045,13919208,22560991,5153019,11489698,14226544,3920612,3277159,3754042,26761654,7616761,1872102,7629436,2407867,12113544,844017,5292877,753339,5004640,1071284,8089169,2109856,11777650,660574,15583375,4309473,7867188,449954,267590,394494,398376,1484349,180636,470778,618049,1765378,7157479,6548455,884023,5085696,321270,6164480,852348,321534
