country,10^8,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Israel,ISR,1738.49,1741.3,1754.67,1834.85,1910.69,2010.26,2126.32,2189.86,2220.12,2336.1,2444.91,2492.4,2594.87,2683.35,2764.87,2878.08
Finland,FIN,2147.83,2183.92,2227.47,2314.92,2379.28,2475.76,2604.12,2622.89,2406,2478,2541.7,2505.45,2486.46,2470.75,2474.09,2526.92
Chile,CHL,1492.98,1539.37,1602.35,1717.87,1816.52,1931.28,2026.01,2097.52,2064.71,2185.38,2318.92,2442.26,2541.05,2589.57,2647.9,2689.98
Greece,GRC,2619.01,2721.75,2879.47,3025.2,3043.32,3215.34,3320.61,3309.48,3167.14,2993.62,2720.22,2521.63,2439.9,2457.95,2450.8,2444.81
Colombia,COL,1957.21,2006.22,2084.83,2196.01,2299.37,2453.37,2622.67,2715.69,2760.54,2870.18,3059.31,3183.03,3338.17,3484.84,3591.2,3661.59
New_Zealand,NZL,1178.25,1233.27,1289.48,1340.38,1384.63,1423.46,1464.56,1448.16,1443.76,1465.81,1499.08,1532.75,1570.3,1623.76,1663.25,1714.05
Peru,PER,863.2860504,910.3656049,948.282543,995.3003185,1057.86,1137.5,1234.4,1347.06,1361.82,1475.29,1568.63,1664.94,1762.38,1803.88,1862.52,1934.84
Slovenia,SVN,380.2509112,394.838497,406.0601348,423.7310417,440.6930265,465.6186206,497.9402154,514.3728913,474.2658143,480.1360675,483.2539123,470.3530526,465.0283974,478.882505,489.6999934,505.11749
Bulgaria,BGR,341.6347785,362.1947772,380.5852976,405.53482,434.8801022,464.2481379,499.8808105,518.0655552,499.4869699,506.1003114,515.7922235,515.9518282,520.3998114,527.3151429,546.3904657,567.9240938
Belarus,BLR,293.541584,308.3515416,330.0693348,367.8614251,402.4403991,442.684439,480.7553007,529.7923538,530.8519133,572.2249077,603.9474011,614.4041027,620.6955114,631.3906269,607.2110849,591.1258322
Lithuania,LTU,258.4745047,275.9493186,305.0304163,325.0101618,350.1250228,376.0568377,417.7500878,428.7288858,365.2162885,371.2051769,393.637591,408.7019206,423.0006878,437.9647002,446.8757444,457.3544477
Kazakhstan,KAZ,758.7608118,833.1193713,910.5994729,998.0170223,1094.82,1211.97,1319.84,1363.39,1379.75,1480.47,1590.03,1666.35,1766.33,1840.52,1862.6,1883.09
Croatia,HRV,483.9017023,509.2894818,537.5953178,559.5443168,582.842852,610.7325869,642.1853456,655.3717579,606.9805295,596.6542747,594.976109,581.961428,575.7698176,572.9384262,585.8122528,603.282888
Sri_Lanka,LKA,337.4215889,350.7992606,371.6376806,391.87358,416.3333415,448.2589974,478.726382,507.2110237,525.1607758,567.2574504,614.9339536,671.1670772,693.9579621,728.383268,763.625099,797.0694604
Tunisia,TUN,302.4860745,306.4866452,320.8989095,340.909504,352.7954359,371.2967172,396.2093175,412.9997841,425.5692217,440.5092916,432.0639458,449.3364196,462.2537376,475.3038983,480.7670812,486.3909459
Luxembourg,LUX,418.1035966,434.0729372,441.1452313,457.0801766,471.5807835,496.0015281,537.4402397,530.563232,507.4380658,532.1247681,545.6366656,543.7131907,563.5824846,596.1119915,613.1707772,632.0726451
Dominican_Republic,DOM,340.210703,359.9028038,358.9909583,363.7007697,397.389463,439.7955079,478.1035179,493.4482707,498.117057,539.54579,556.2820543,571.8240763,598.9403411,644.513501,689.8932854,735.7387651
Guatemala,GTM,304.593961,316.371472,324.3781694,334.6028347,345.5112587,364.0989931,387.0519994,399.7517649,401.8531584,413.3859538,430.5908536,443.3795114,459.7720382,478.9647651,498.7941188,514.0907337
Ethiopia,ETH,141.6030452,143.7479429,140.6410327,159.729682,178.6077592,197.9594225,220.6379845,244.4415613,265.9586598,299.3379033,332.7987809,361.5785926,399.8418157,440.8555618,486.6713131,523.4722623
Ecuador,ECU,483.2500748,503.047751,516.7451242,559.1751745,588.7628567,614.6891847,628.1512711,668.0836678,671.8683056,695.55367,750.2808129,792.6113718,831.8179826,863.3344725,864.1880738,850.5651929
Estonia,EST,150.1468909,159.2704086,171.0821623,181.8513502,198.8975711,219.328099,236.3220621,223.5146922,190.6034861,194.9093635,209.717213,218.7502765,222.9864706,229.432365,233.2737204,238.0867702
Costa_Rica,CRI,253.1106989,261.4424785,272.568101,284.3882215,295.3965285,316.77654,342.6505187,358.5823919,355.1021766,372.6863529,388.738333,407.3857995,416.6294949,431.8648174,452.2629445,471.8404486
Uruguay,URY,287.3467567,265.1290848,267.2641267,280.6384521,301.5744514,313.9347136,334.470787,358.4728945,373.6846709,402.8448166,423.6402019,438.6293494,458.9709549,473.8360659,475.5927717,482.5051869
Tanzania_United_Republic_of,TZA,175.0164175,187.5538123,200.4691927,216.1625193,233.8302079,244.7280308,265.4427443,280.2188685,295.3012181,314.0790861,338.9054913,356.3286687,382.2090339,408.8304026,437.2824411,467.7636708
