United_States_of_America,China,Germany,United_Kingdom,Japan,France,Korea__Republic_of,Italy,Canada,Netherlands,Mexico,Belgium,India,Spain,Singapore,Switzerland,Turkey,Thailand,Australia,Poland,Russian_Federation,Malaysia,Austria,Czech_Republic,Sweden,Brazil,Indonesia,Hungary,Philippines,Denmark,Ireland,Slovakia,South_Africa,Romania,Norway,Portugal,Israel,Finland,Chile,Greece,Colombia,New_Zealand,Peru,Slovenia,Bulgaria,Belarus,Lithuania,Kazakhstan,Croatia,Sri_Lanka,Tunisia,Luxembourg,Dominican_Republic,Guatemala,Ethiopia,Ecuador,Estonia,Costa_Rica,Uruguay,Tanzania__United_Republic_of
296761578,10324736,5781836,2535894,5742035,2735515,3695368,1189141,25075246,1586190,0,3400699,2442138,3681538,1933918,989430,820917,590237,1866883,521946,644406,373223,284190,526942,78926,3528088,176954,240580,95212,120549,386602,106138,607530,146996,203873,173944,168806,226882,1990160,35791,3410737,197692,1676915,12574,36806,23274,4659,65351,18616,12807,26337,24961,1017485,1940614,5730,524685,42106,1067140,205307,4812
17453519,6874055,41913142,31522506,2492599,38019212,1073241,19698412,1672149,41716681,1089397,0,7479922,7713596,1349848,4849631,3200764,808480,1279455,4911064,2268979,636779,3410788,2426331,6692220,1516432,491084,2148772,546061,2826323,1516249,790003,826862,1741468,1318185,1907256,3913975,1333089,393980,1701967,201877,245003,166926,562182,672484,161844,839003,162606,410509,69752,264781,4379549,79006,183821,225203,95482,243586,66388,34228,64947
47740264,11764125,8572331,8596121,4674419,5177030,4189284,4691289,3051115,3207005,4285924,4845108,0,3833353,5889164,1509653,5757246,2584759,3253180,2074290,2397222,4012355,508541,727854,696857,2482604,2872737,382030,1523235,701175,601102,297131,3104002,270310,419329,577483,1768896,357561,723802,329434,945901,414649,803167,282486,135212,125888,49417,203811,111833,3824968,268803,57026,170029,266838,1301920,230796,69892,179396,157467,1428795
13967961,6135762,30726192,21251196,3691384,35769294,2004616,21619322,1781107,7715346,4455983,8842483,1725773,0,818246,5164358,5679305,626249,1559578,4117300,2473706,499418,2070931,2642030,1893473,2565485,484061,1598905,438891,1401805,1250806,1068855,1322869,2035505,1650957,22155804,1577378,1364743,1548102,1729501,918494,278773,645988,398176,1125856,224817,540114,355391,440955,77596,817324,273230,605919,264469,135069,323307,213022,222737,253271,31508
18062947,26014249,5948268,2035407,7465103,2367823,6806329,289903,743546,2715307,1278854,6181099,6719479,365623,0,3417923,363236,6548262,5219372,693889,495865,17453435,108503,464037,193574,426374,14548299,441667,5596519,519127,435657,43610,380394,19169,339414,61685,1519159,107883,78412,45540,95580,1003487,92807,7823,30965,18481,2410,37194,6118,1030316,31780,9102,22799,21672,22374,50331,7635,32213,5509,52639
36846898,39945438,49643686,26596303,7651752,15660339,2359474,11731621,3399191,2769095,1657938,4952295,14855314,3905423,3828020,0,2506258,4148783,2361698,1437545,1952016,1718792,8827918,1409857,1100713,1902775,723751,657052,408795,666122,1586779,632530,724848,460221,881706,298457,4288102,692882,259845,459936,387037,254607,156061,355560,213762,147064,97420,110046,185723,274246,173981,227341,60752,22023,55579,113111,181701,145245,31909,129785
8505551,2785415,17004577,12207457,563327,7792753,742404,8271237,1033654,2960885,730515,4397809,1129743,5640471,544149,3073322,0,301215,740736,3089309,2147525,300069,1701162,1439524,1242715,397198,311154,794742,90581,970580,547737,557760,430457,2836702,787381,585513,2601458,503995,308919,1545326,237163,126069,140707,1329936,1795932,731662,156737,618147,265986,69153,856710,58958,43746,37006,573547,46851,182003,56348,70687,65381
30456877,38532343,6144641,3675904,20139207,2877216,4562808,1561778,2380136,2738632,5427445,1612343,5316378,1286110,6841867,5054497,1482293,0,10872745,735555,1146691,10208534,443484,1196419,449014,1343973,8666933,402297,6725804,379277,495096,211328,2154951,147144,409402,151361,621054,225880,667703,121994,291248,1630757,539720,36085,44384,33284,17818,66307,20230,514463,183366,23971,95797,146976,132327,121172,57767,184057,28555,78586
9558759,70895013,2134540,7048294,30432596,949414,15175007,537303,1513307,910501,527266,693573,8730657,528986,2915156,891518,607447,3450769,0,349262,467913,3762046,100087,149517,290091,829464,5260855,33159,967341,117043,156637,35401,743033,37186,81062,14919,184921,111035,355978,10237,45476,4555507,102778,3503,37973,13179,2991,25948,1585,196280,8765,14172,7267,5176,14759,13698,7008,8468,8586,64515
6152493,2537722,51481976,12513333,1148409,10032924,541363,9661775,1450121,8377598,792179,4205072,653939,5564673,468274,2013542,3244193,257691,665722,0,3958492,183701,3377808,11776829,5195475,487181,143091,5115601,37326,3293135,627434,3886407,652089,3833351,2554188,807035,381043,1586771,101528,657881,121354,96698,70655,766214,1169153,1181286,2971639,254317,667100,28017,124019,249788,14522,5110,103658,16847,863067,12402,9325,24374
15284179,32260148,29453086,5269648,11273172,6119263,8640612,11750624,704086,13204783,1301742,8318032,4782005,3466265,2606267,1673216,15162386,1392356,162807,11536966,0,969274,585151,3411413,3708878,2021090,850613,2631839,191322,1422905,210600,2967159,256958,2189118,1162580,1313256,938792,6701563,56614,3119205,255772,100167,289041,280141,2580207,14973019,3793243,9129774,334198,199602,655237,26061,48748,31356,163376,186402,1165136,48839,32242,107386
37332857,49269637,8408651,2227834,17334412,2400245,7507773,1061109,1958397,7039872,8161213,1041634,8653351,718925,32257574,969702,1996955,10952719,6912294,627377,1204315,0,177856,974586,323891,1185288,7200944,290561,3417290,178264,337827,439210,775843,95475,280260,56120,13962,207398,193562,78294,162555,941149,188299,27314,46868,55530,8796,82776,10792,642030,80892,19769,32031,36233,290317,50643,64422,36768,17278,260466
11075529,5026544,42502366,4405251,1686275,5274496,1091548,9189054,1321543,2396596,1258565,2017325,905748,2414937,946208,7891482,1521240,328991,1071688,3067605,1834734,530199,0,4130249,1771018,1051721,358606,5890425,129117,810132,290392,2237922,449688,2662807,532254,353372,408549,577489,246117,508424,141544,145380,97127,3022933,798648,128792,301687,149842,1739049,99982,90899,126394,13643,7995,72917,44209,121383,21967,22068,14255
4547096,2951543,46918963,7260654,766102,7111709,619243,7047292,409962,5613037,1127670,4109296,530210,4416296,304210,2320004,2561652,187204,561030,6610539,2766511,199931,6907947,0,2061208,464888,158917,4528783,171505,1418026,440186,8031085,555321,2109532,819732,521443,612345,816554,84229,312237,59268,108735,43606,696347,615039,192281,487039,186432,458807,13169,94183,190267,16259,1356,20068,13805,198168,5683,8023,16128
9958882,6157692,15935572,8481315,2209509,5996609,1592819,3998496,1552293,7050063,926150,7517994,1191692,2434259,979477,1488256,1478308,713747,1528083,3200825,1668037,469576,1390272,1109283,0,972410,526178,896134,124324,10319079,494366,350610,777583,422210,8675900,759608,495331,6737848,346953,385349,131903,219766,248311,173042,182613,91135,1209557,165467,145023,64685,110755,94472,54987,26655,429048,37354,864764,39158,34234,68987
27057612,45855047,8384391,3217233,6738516,2980683,3443974,3577908,2915291,4416668,4732838,2904863,3614718,3286782,1113146,1245702,1788012,2172610,561818,891668,2523459,2037283,105324,221374,519067,0,2402380,179836,444515,143425,311594,86779,1401522,285247,1086843,1166547,253533,579079,4725203,148618,2117351,142296,2128269,327451,28394,69175,24982,156066,80140,193155,266136,70959,759808,215107,63314,683254,22168,330052,1462392,27851
20137705,21414036,4273638,1795942,18214822,1867213,8285343,1836625,1224142,2622228,1318717,1401707,12189259,1847218,13465749,2406323,1424722,6411691,3668914,633251,2212236,7092646,79205,320821,158700,1225473,0,115654,4707532,234865,103918,158818,661248,107730,174574,158677,43116,125236,164265,154183,181258,471721,233565,68694,40145,19829,24239,17415,28166,379081,53085,107903,39800,41554,324039,82759,55324,69660,34085,64643
5439741,3464230,27623696,3630098,1231201,4542723,651014,5067798,457086,2318619,997322,1913057,211601,2876852,541643,1104988,1301052,172060,435740,3381027,1656780,141991,4108463,3331131,1179745,282024,61454,0,16354,732851,160308,3518866,265225,5601779,323886,338458,372597,356189,106354,434145,65165,46352,46698,1118299,1103909,103711,232138,98909,1551404,11289,105966,93902,12992,1038,23562,10814,325497,41439,10810,3081
10375160,17395891,3151663,640393,9026125,935419,3228542,240445,1023949,1323185,2233891,217592,475844,230653,4698821,516180,122375,2728577,578917,331089,294186,1589888,99387,258073,28141,195191,821806,170666,0,49006,135945,37570,174675,20243,36564,27319,74557,135181,45313,8232,39500,85185,53298,25781,28976,10932,2589,9888,2025,26613,14950,8130,8795,1592,12233,15338,12369,9675,10758,3610
8074397,4238154,12883582,5329943,2057020,2714273,736449,2422874,767387,3581273,664190,1449536,476700,2023489,399442,763262,910557,263430,902766,2120497,830749,189769,669474,807178,10724925,609501,156628,624020,130793,0,557005,275812,306190,291863,4064539,317962,251337,1742628,291153,568698,111965,141981,64689,92456,132357,88882,486962,60536,146927,60683,45522,51906,91057,13552,32454,35738,241003,37445,163969,40640
45723079,5296977,13229764,18158772,6231966,7383338,1210773,3696346,1461401,6032641,1581403,16601959,490354,3223494,815475,7808444,824413,422638,2024157,1613878,897326,585446,599624,1257574,1520458,466937,110316,554814,159210,1021465,0,251912,383715,344931,531234,593567,2066529,503909,130756,335761,151884,187946,61509,112983,108692,33257,107172,139230,63773,17763,42669,82485,17860,16634,35325,31759,58403,54600,13853,22742
2559373,2410166,15931379,3400731,226044,4469772,219251,3669971,392407,1525818,276409,941510,69923,2235479,53760,928300,951212,30816,244857,3663426,1665404,30124,3953607,7252605,1082292,99256,17886,4908775,1652,468495,81330,0,147755,1746902,380216,226970,153056,304244,16906,165877,21899,50901,16357,453472,388552,92854,161817,29706,357632,15665,73711,51298,1718,553,4099,2827,102198,7119,2006,557
6903496,22228894,6339424,9786576,4211983,1039848,1331677,1472835,642086,1209696,200987,2931983,5092336,988241,548334,1114945,1058114,737075,789235,298466,521073,411199,91128,319275,171702,336283,290807,27487,42761,93832,103187,25786,0,39005,221816,170385,75142,152531,67789,51943,29534,112874,36432,21029,20172,5949,46390,32863,4892,199817,11988,18153,6080,4159,154344,6204,29704,6528,22414,472210
2037980,1455221,13824152,2337104,477618,4192283,538615,6913135,395975,1358378,372894,1169426,321335,1799939,87443,606235,2195728,85923,187414,1662210,1230970,40505,1422637,1854043,454098,269282,42076,2824797,10741,356777,136319,945252,237335,0,349149,135743,230355,221116,39776,822572,102938,12638,18323,331605,2006509,43410,69119,78492,166739,4371,131082,24491,1853,1463,205027,9390,67943,2513,5032,1664
4656331,3230674,13845695,17473391,1759507,3669963,1656458,820731,1191142,6277939,174737,3750049,646577,1697728,873997,400705,627523,345119,237812,2064931,665858,254019,75268,228264,11641174,538960,333699,35292,57952,3533783,1248016,53144,172832,46754,0,117698,177181,1174337,145963,93725,33910,56124,15049,4677,25605,161882,379901,51294,22678,13433,17821,30344,43400,14445,7177,5744,106662,7784,7834,7022
3335526,1582818,6337778,3608150,284306,6186232,232970,1756508,418295,1983686,421491,1309458,130186,11743569,289010,871893,658282,53897,155691,583177,395543,41796,321810,414213,537129,639774,35121,225200,14726,346213,270633,248725,207418,422889,313007,0,152920,270166,130208,98267,90571,27663,42948,55850,52816,17467,50947,14682,26791,7840,192622,85873,20664,11035,11097,37506,21657,13484,11538,3158
22632084,3172903,1915625,1349196,1302245,1379689,864787,1000623,977411,1977479,707397,1866429,2076420,823227,651604,696913,1385605,395147,592758,339302,719573,0,99963,241651,169626,695630,109940,164367,134908,64290,74706,59329,249280,127021,114182,112253,0,94294,143710,335128,142671,78266,89132,213571,55321,48257,22568,66148,18391,80909,0,8577,24925,29612,25617,23996,12939,36658,12725,7775
4745519,3455047,8936390,2955477,1395105,2230495,919819,1491805,644634,4049161,451312,2432079,933531,1265070,286870,951765,942114,344117,570177,1477729,2478055,153799,500307,401097,6409704,608917,338590,271856,292086,1054839,168604,143339,332919,152979,1752536,168621,260085,0,266628,128835,93887,118582,105894,79525,74779,84696,684188,124224,37776,14971,65346,35739,7262,8723,15748,21887,1449096,10936,29948,34704
9545821,18604964,1414803,739586,5348533,1103786,3704297,907328,1274910,886680,1335449,568142,1218361,1545695,122079,528630,232972,352860,397413,199578,598412,110260,72780,31162,114692,2882017,83339,12033,55382,164234,76980,5256,98929,4204,134747,57715,85851,149535,0,86613,721052,78802,1152252,8880,5800,10589,15619,5966,1472,15475,4672,2074,68350,100854,787,425067,12274,282376,120523,642
1319680,283106,2077467,1077265,105371,697875,175088,2813635,182313,590736,214138,460048,95581,595256,214346,163526,1187058,50900,157427,479328,213014,25803,169262,229361,165787,105206,68753,102321,11230,148638,51251,85081,55051,875930,67929,159527,267341,89804,31771,0,13858,20237,11199,111237,1392616,34032,48072,13213,107891,7449,95614,18898,3893,3037,24053,2413,12815,1878,11885,1514
14430931,2544629,1362989,621063,645137,419143,432729,620707,594699,935246,1097876,519660,476320,1163407,254294,524625,953011,72714,56735,127512,102557,29109,9775,30147,52132,907925,8214,1012,12538,15465,89169,14925,59662,14573,121745,311878,15214,67485,797587,75808,0,16223,1178440,12742,4790,14144,2175,3949,22213,540,3123,917,340994,375015,1822,1308486,4282,292704,44427,665
4226830,7140629,773492,1128869,2340522,422156,1098104,272206,500821,401840,364162,323009,508744,173364,597111,98296,46558,591089,5626678,96663,150106,690312,23499,29503,50868,55974,660904,3554,437797,92445,59203,5455,130977,4633,47820,25086,12272,36621,90258,34712,8600,0,62964,862,9520,2906,14111,6613,4550,196024,3359,3214,11675,20503,6182,4944,5748,9392,19681,3602
6550724,9490808,1140889,421331,1322143,491992,1294386,482436,1856790,759572,556304,605228,989575,1604839,51040,2465358,59880,69022,262864,38144,93478,76497,31522,19832,72660,1236035,59303,1204,28583,89695,19451,17050,30927,1946,227375,25350,6325,115156,993299,4499,682253,32382,0,864,25936,4007,2813,2267,276,1272,1097,3400,75964,85089,6177,622666,11914,61111,28352,13
774570,436858,6163685,536707,142306,1232067,98086,2868539,126446,476685,110782,323975,103189,473110,47214,449852,296054,40874,101178,647858,807643,23670,2369539,576431,247473,59201,13517,1299224,18059,240325,39971,402158,46950,510883,128822,59211,695063,81703,17455,233983,19634,12459,7270,0,224167,60040,90454,75341,2384345,4689,18774,18735,2776,12,3743,5094,27620,2291,2030,929
628823,590108,3524003,558545,105511,1235407,102126,2717760,105756,684997,60544,726979,121651,684511,169227,266238,2142523,49607,52605,542416,481463,32186,484763,393570,180336,46952,75273,372615,86518,129685,43035,149978,85204,2322634,74628,113246,90886,60019,8139,1639003,7593,18622,10895,112686,0,30549,65645,22163,186219,6230,52875,4721,2801,6384,31218,3251,9826,1962,3059,10346
143518,435189,503123,46052,18042,32146,37163,77496,72560,157855,4766,100997,136269,27668,14680,32048,102567,63301,2293,794574,9406285,36246,31149,132079,36181,430705,163662,65724,4325,12925,7669,101380,3489,84575,108039,1919,10631,16014,397,772,10933,2709,7878,12316,25977,0,774287,332607,4093,19316,1107,3023,166,11,1339,7596,74876,1908,1444,299
1241042,164011,1883029,1052554,536143,723396,70143,537226,280854,766226,21482,351631,239105,310765,68295,141539,281307,10602,36305,1185337,414266,88478,105248,228368,1213769,21979,13385,131582,5325,512970,83800,77724,43127,88700,802749,70549,38550,393798,7137,26595,6947,26728,3289,42236,56250,264141,0,83441,25983,1582,2159,10145,9104,11633,3454,3259,1001550,1613,14437,6957
787276,4805079,3222397,727582,591655,2787505,285295,1621562,521553,145019,65886,77151,320361,799020,3486,236572,1093897,14366,1472,538171,3612215,5487,719475,103656,15303,46140,14947,73441,117,23840,57,8726,12378,911226,11541,335565,2066,151545,3272,1398336,2460,717,62,28692,18903,55324,337354,0,92399,6976,10270,2265,12,0,181,5,48042,9,0,25
524829,161440,1557238,134807,58301,216768,13445,1647008,42528,371143,27418,144443,28944,93449,31153,182006,133517,3312,23221,176972,231775,22134,690705,151889,88370,6936,13790,522692,713,36347,30243,131818,12107,122127,70355,54965,18424,19696,7993,58369,5112,3089,3797,1671712,69573,9082,9782,6571,0,761,12818,6777,89,63,2000,432,3149,49,73,9359
2914025,273444,642628,906482,241019,314838,88544,376191,263543,155759,186022,332586,632273,124426,95898,160541,105119,40182,165728,90494,282341,59528,40159,53296,61916,48925,44303,24928,17972,28065,58300,43126,33006,9997,43940,8239,81689,26410,45067,4142,17576,37656,23337,4845,2264,5106,4501,4862,1741,0,859,2522,2119,5001,2135,11111,6479,3715,3219,3235
403714,138847,1800935,186989,97054,4608722,53992,2482433,68803,178623,44966,322295,152011,468551,14331,168287,214383,18323,23721,203454,110319,19909,137525,145396,27929,47550,22752,37909,2167,9382,19247,94856,22377,109304,37459,11095,1226,13609,2011,21620,4309,3904,2877,9342,9203,2560,105,4057,3038,213,0,4011,2601,88,1162,3553,4178,978,633,538
520356,305565,3531141,577013,73075,1632960,82085,952417,117489,1052880,66788,2965109,48011,521189,64263,270641,134490,17618,16249,267479,138307,21862,392167,202112,299093,126012,38770,90649,4509,198236,31058,74310,48373,121022,92230,117571,152547,66997,6849,67177,6353,5011,5953,52921,96653,6317,73884,18334,13649,1823,10091,0,1000,9740,5794,7327,10985,9905,308,1707
4789755,130263,189128,205527,88819,169612,83362,54562,881458,138424,148844,197188,637003,130347,46274,351518,12476,20698,55747,35588,14933,4148,668,15154,61386,13913,10382,284,3671,10872,15811,3832,22843,270,15261,1817,4947,4330,16400,938,38204,12788,12826,37,492,976,27,679,112,371,915,813,0,21636,6,13600,564,37906,1966,17
4279225,100066,163782,124833,217346,48227,139246,112487,613671,345790,487814,77456,18016,91370,9402,46022,11008,3873,13571,21337,16270,41646,1013,11105,5434,39205,19448,73,2025,2418,4957,1063,6864,3623,17693,2505,2574,9148,95309,6511,60930,3989,53533,172,1860,830,0,22758,79,107,200,462,166519,0,202,25340,875,416693,478,10
247095,419420,174875,54553,76515,49688,53497,57432,25134,345169,2294,27038,70202,9075,10395,218174,35310,7249,18130,4771,20622,1115,1461,11343,16427,54,23669,1103,484,1658,1675,4129,8278,1584,18942,5319,52385,6189,413,9035,22,4131,244,549,6127,825,345,35,387,929,527,102,48,111,0,16,235,1,4,130
6494212,939922,572046,151546,509108,410420,94246,389939,205340,358551,187768,261309,213319,571497,31356,90632,97293,1289,22141,193213,1211754,64221,803,48517,39032,144043,48275,312,13906,20560,6702,20027,6424,3777,35456,20448,6360,19136,941458,91917,804784,57420,1079827,24104,15225,43261,12133,32759,17586,8266,13800,1540,67542,51194,784,0,12292,27844,28466,17
1016703,211791,687366,323785,95282,311036,67350,125210,127182,302810,346436,207688,87838,97251,32558,52472,237536,31720,54529,182704,636989,5763,47699,94834,2177656,26481,7500,47048,883,347367,17635,21547,10212,117966,569227,26502,16959,1799710,7301,17156,1993,6232,3974,9164,18040,41203,916720,25582,4560,5780,6765,1905,1805,4965,704,3143,0,1137,1461,8146
4575727,697413,588458,298504,303769,223336,133093,294735,384244,575402,391076,588170,58287,246500,53784,104240,43676,23071,85151,93837,75679,21033,641,212522,31981,49171,5671,1269,5946,2217,96211,15644,13379,1272,47527,44842,4092,79638,36447,8914,83607,27169,25187,3452,508,13238,12674,833,154,641,1398,1407,230722,595498,147,42871,11107,0,4213,296
559639,1948101,384971,80081,58194,139335,81324,239781,71322,558697,338024,15841,13588,101756,10683,72714,234379,43467,16445,52600,109066,21422,77582,13259,8520,1284205,25088,4550,109201,6889,5717,1724,46397,10588,46130,103339,165059,43316,164496,24659,104328,5377,160019,524,8776,1755,827,630,4,266,7193,317,50595,92034,60,42017,831,30841,0,0
151572,315827,184798,21002,168749,62817,41650,42521,10341,54036,2674,268635,830587,18817,30333,633637,23094,28556,4183,32873,48549,151713,858,5191,8173,80,68896,140,4050,4654,1262,86,24170,8719,1501,27661,7495,3995,486,9286,663,6500,1,26,2717,3584,5721,2534,16,1136,558,1234,419,10,4478,0,94,22,74,0
