United_States_of_America,China,Germany,United_Kingdom,Japan,France,Korea__Republic_of,Italy,Canada,Netherlands,Mexico,Belgium,India,Spain,Singapore,Switzerland,Turkey,Thailand,Australia,Poland,Russian_Federation,Malaysia,Austria,Czech_Republic,Sweden,Brazil,Indonesia,Hungary,Philippines,Denmark,Ireland,Slovakia,South_Africa,Romania,Norway,Portugal,Israel,Finland,Chile,Greece,Colombia,New_Zealand,Peru,Slovenia,Bulgaria,Belarus,Lithuania,Kazakhstan,Croatia,Sri_Lanka,Tunisia,Luxembourg,Dominican_Republic,Guatemala,Ethiopia,Ecuador,Estonia,Costa_Rica,Uruguay,Tanzania__United_Republic_of
0,135120133,65815687,57103332,69221593,39678969,43397737,15398202,210250896,32858394,179909108,30104228,20395235,14409254,30726972,24038007,10867798,12209917,21703312,5504638,11065668,13418638,3613918,3273748,3728402,24099794,7319184,1969819,7680899,2486609,12685548,787085,4977675,706497,4672867,971572,8097674,2228119,10234566,731799,11946833,4100220,7108291,409570,228790,381645,350568,1276990,208873,539987,694485,1266979,7497838,6537800,1536832,3753799,314044,5711190,565017,252023
481516030,0,105289753,59575883,156552583,51032598,86978909,30194171,48641696,35846316,69520668,16173278,60483103,26404752,40381672,12576584,25441433,42248742,44241022,23447667,38086982,34306466,5253715,17648830,6516080,23363995,30800449,4868856,15916071,6441266,4565410,6348683,13536720,3818301,8011716,2012714,5896145,4456431,14180859,3194687,8631421,7237134,8244371,1461703,1147022,2117296,784257,3665652,645481,4270756,1819971,472219,2338454,1846661,5088933,3090212,1300448,2082233,1532146,1638488
116266723,86109030,0,88077491,22022456,94547302,18916822,65794412,13045173,72628734,13877976,50606489,11499371,40781499,8692296,52014667,21474989,5900515,10079658,43177701,19450963,5732437,66307865,37779178,26527010,9130742,3159486,24343945,2009691,18411435,7405825,12748684,8817368,15291038,8712642,9140818,4069373,8816944,2288171,5190696,1707682,1755565,1123652,5130837,3787855,1318676,3354418,1443521,3517264,435010,1504613,4659854,305947,279715,342099,438224,1647979,388286,385750,191675
55153138,18681447,39420807,0,6511035,21536171,5211953,12168656,6232391,21328569,2128188,17775658,3863791,12381640,5363515,19086079,5320237,2026294,5310179,4813798,3432204,1579056,2710643,3809269,7297459,2297687,893837,1769294,513397,3519643,18359573,1357027,2159916,1706036,3674045,2089329,3669790,1818334,467705,1293407,415618,1022350,255182,406881,664368,159252,748414,372389,234742,445738,306316,319889,172957,38982,205943,79036,473191,127610,148439,155044
135116983,145670688,25366077,12996369,0,10386995,47466276,4447104,11936210,7742427,17751107,9187565,9808531,4028916,19899483,3585804,3943604,30854637,14593655,2867729,6679836,13733979,1099396,2481355,1334685,3566368,12984774,1371440,10196483,412824,1358098,675276,2552512,368785,1704530,330825,2354222,739874,1965681,315406,1115630,2568762,1035375,87941,104694,112378,42045,552884,36008,949829,217469,501744,414345,306632,659049,468252,232778,415050,60369,371008
47769520,22511003,72918636,35949857,10218936,0,5847841,36020327,4515505,16673156,3734697,35258063,3167272,33624795,8553462,16413043,7364715,2822610,3359908,7344838,8491635,2287390,3858631,4523738,5739621,3682388,1362378,4491995,1006009,2643214,9625204,2320800,2249866,4135602,2403656,5262674,1690584,2411682,1896529,2075547,828751,812701,308884,1035900,911801,241244,937341,660979,529454,295038,3009675,2202934,327071,74771,211549,185541,406277,113778,109227,67933
71881139,158974531,8592743,5949790,25019531,3598408,0,3284254,8011261,3441577,13612211,2252655,12214046,2535196,17001245,848465,6384242,7314582,8099730,3342331,5113263,8838128,686019,3506129,848297,5448584,6674577,994170,5622545,362953,983728,4483789,1003995,566697,2041980,360837,1313200,579375,1751495,1980307,888904,1539806,1297633,969858,123039,84916,181441,453126,455018,324416,259000,88383,279833,321074,179107,552225,79284,256939,105882,165314
46614965,16719864,57298505,24160748,8752932,42045862,5425092,0,5696193,9916548,5293568,14636330,3841293,19996555,3692423,19818477,10220108,1897350,4397577,9615709,7845137,1387869,9227527,6165007,4577894,3711872,1387283,4430148,512796,3026022,1569823,2452098,1840755,7666053,2183557,3709194,2693693,1739242,1091755,3957605,762269,746821,748437,4103877,2288716,579260,1495082,835333,2754680,276464,2828988,514290,505920,132392,705332,286699,443052,198987,132087,87662
282955447,18336834,4326104,13430491,9180340,3190160,3939323,1637818,0,1440436,9631526,2804189,3646861,1441641,1261547,1044178,1062957,909092,1563706,355906,719377,666605,246608,188092,468219,1866043,1383030,100378,417998,337407,566592,94656,339968,81057,1285441,185173,283167,474132,619684,83229,766845,466488,669896,119989,52242,19249,15967,111192,13358,251067,146768,238782,188539,90695,65585,219670,35042,154104,77796,100870
16681135,9809798,92488678,47382169,2361559,25537080,4229478,22305297,2772306,0,2025217,60037963,1781384,12967457,3775704,5062206,3000336,993614,1690298,7047477,3021056,1694396,6272211,4066962,12158073,1786301,723616,4512371,536311,6776551,2881107,1084640,1285869,3062011,2903638,3452884,2700747,3028527,510940,2610998,311302,387528,249492,1022111,1057376,209440,1328078,282365,856217,113308,258648,649093,101900,94081,182585,181265,772049,96605,53261,105462
