United_States_of_America,China,Germany,United_Kingdom,Japan,France,Korea__Republic_of,Italy,Canada,Netherlands,Mexico,Belgium,India,Spain,Singapore,Switzerland,Turkey,Thailand,Australia,Poland,Russian_Federation,Malaysia,Austria,Czech_Republic,Sweden,Brazil,Indonesia,Hungary,Philippines,Denmark,Ireland,Slovakia,South_Africa,Romania,Norway,Portugal,Israel,Finland,Chile,Greece,Colombia,New_Zealand,Peru,Slovenia,Bulgaria,Belarus,Lithuania,Kazakhstan,Croatia,Sri_Lanka,Tunisia,Luxembourg,Dominican_Republic,Guatemala,Ethiopia,Ecuador,Estonia,Costa_Rica,Uruguay,Tanzania__United_Republic_of
0,26217375,39831645,47341167,63756682,26289090,22430926,11453140,140999710,19280364,114059682,12487177,3226731,7044178,19148655,5647630,3261380,7183992,11729046,1682738,3260386,11838633,3771284,1451762,3456391,13050769,3209693,1424236,6642875,1861687,7813491,285373,3045871,494677,2338124,1432873,6704515,2272865,2976102,990904,4442775,2144971,1691491,299161,190813,131629,194183,347205,297351,266558,384520,626092,2462884,2418891,167587,1326442,120483,3280213,273540,65243
102267289,0,17689098,16790045,57864681,9704763,13302623,6675752,8218605,7922493,4026826,3866215,1827549,4545039,7205239,1338182,925620,3715825,5625308,1594911,1646501,3804427,1217836,1068089,1070462,1328389,1842680,1333574,1074345,1306792,969380,232490,1064431,253272,993746,314080,737305,1009624,1013099,841590,475405,927223,353626,158389,87428,41290,125066,171984,144250,220737,130650,40937,57360,46287,134812,148635,380775,100177,121512,70477
59075092,13772190,0,43056874,12400249,48948806,4473358,42073509,5167147,36055699,6079199,29045137,1906412,24084520,3832345,25335381,5335443,2562512,3617827,12003267,5807733,2743079,28576881,12013812,11280896,4825163,1300529,8392524,833844,9684405,3156613,3644207,3768226,2364433,4167630,5434156,2614775,4798591,684142,3951368,560090,641238,222929,1876908,1112024,604077,1094464,485533,1583237,138206,909058,2693540,135903,139499,87067,178197,339079,136761,93313,68047
41348915,3526939,32813932,0,6003450,22047084,2353529,12114163,7568808,17429012,1325552,13882741,2758525,10895794,2442415,4848788,1913846,982822,3376323,2055992,1003218,1808358,1864453,1456902,5689197,1244377,643004,992732,488171,3381891,18258003,375583,2143902,539318,2594197,1986883,2208280,2130767,193436,1273095,179557,510586,90625,233410,181139,61406,212952,249437,226206,220946,228868,473517,21652,53686,61747,43937,90178,49090,38285,110120
126473307,42787308,20370217,17872352,0,9858755,26633084,5618329,9457044,7789724,8085237,5118235,1788176,3888041,16082402,2009851,1307372,13811060,8344980,967031,870782,14211044,1574705,675662,1430127,3063629,4689470,1555362,6995947,607153,1796168,237167,1721714,153519,1225165,728842,1011841,1426246,548457,862756,558975,1467437,429149,145986,76745,22848,120605,141958,142837,337391,170863,112781,216143,172125,78524,351301,223275,230026,49698,150546
30431140,4106236,44218349,28031287,6182598,0,2096032,26500218,3557613,11300794,1578118,24062291,776545,25956856,2078060,8627384,2283939,931957,1410072,3382828,1538614,1142595,2864839,1751471,4110467,2083747,397502,1579152,312370,2518259,2528986,570405,957767,978806,1702900,4029116,1253816,1478309,572936,1798448,350436,256790,137401,1060727,438365,87209,239357,141554,397916,79988,2456801,1418004,42163,38444,58238,42577,79165,76384,128581,41541
35181331,23376945,4348738,4949077,17197611,1998184,0,2104896,2974431,1923070,3531353,759936,1136427,1842161,3821836,338177,759499,2121589,2516281,506802,726498,2948124,338454,156726,396299,1574062,2209317,413176,2199086,324652,709627,40382,450707,167003,460125,263145,523612,221143,538491,855476,266271,304924,256483,62932,30668,21479,44018,110577,69116,335985,98012,4626,15096,53981,42788,137091,39692,135459,45212,15737
23792270,3784296,31300599,14744692,5393745,26299945,1787520,0,2600794,5530242,2100411,7634705,726355,14311340,1312855,7893454,3484130,667885,1888260,4111449,1714899,753722,5056227,1916802,2160824,2189152,409219,2647476,155194,1970137,1047630,942837,943471,3111501,1095021,2702631,1650887,1177761,434922,3477508,401029,307226,134076,1777699,698757,164139,268257,268824,1657121,66123,1822897,189830,58437,46805,135315,109769,136319,72414,100344,50915
216234127,4027799,2915215,6025113,7753000,1793236,1821262,1392154,0,776100,4234469,1323117,516602,591298,417979,301287,129142,346071,967644,158333,236591,298374,347643,101114,255414,927029,356508,67887,300388,260065,569771,18934,178180,59386,942081,89793,285419,176304,423284,89381,344223,198137,148889,40230,22455,6502,16263,38810,12525,23766,43745,65553,46612,90817,13706,87577,10591,73420,19012,23058
9514796,1456696,35622414,22111509,1865161,13953923,1017250,13931008,898533,0,470644,30583810,524046,6046661,1143461,4534563,1041587,523596,560343,1748805,846217,649071,2059504,863205,4414783,533099,343802,699377,257279,3123503,1720355,217431,478766,321703,1429433,1899804,1353492,1203361,106083,1592947,85302,123448,37176,178533,132777,81953,149564,85337,164005,78284,174742,563569,29360,31914,41867,43435,71991,118826,25185,30862
131334695,761276,1384541,1422010,2006563,543577,266629,283781,7830572,596842,0,643926,61509,1428396,352506,100287,30916,126811,338668,79541,51187,158726,137796,50264,26076,695421,24680,121664,29606,41744,217740,18828,63593,7648,42140,128650,13412,30140,532098,11272,596168,71162,248135,8935,8000,1093,2875,4603,3133,990,5637,243,365789,553161,113,169480,3242,379537,37123,196
